DrivingStyle,Accuracy,F1,CV_Mean_Acc,CV_Std_Acc
Aggressive,0.8679245283018868,0.8771929824561403,0.6081277213352686,0.06076625133128348
Cautious,0.8979591836734694,0.9206349206349206,0.4816326530612245,0.07255668912094357
Balanced,0.7636363636363637,0.7936507936507936,0.6078114478114478,0.05194813745917821
