LapNumber,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedAvg,ThrottleAvg,BrakeAvg,Year,Circuit,CircuitType,SessionType,Cluster,NormRank
1.0,16,Ferrari,100.003,32.485,42.543,24.975,118.6677390383712,36.04981851198636,0.2852193995381062,2021,Monaco,Street,Qualifying,0,330.0
2.0,16,Ferrari,74.875,19.976,35.167,19.732,158.0943811462847,52.67417970244004,0.2748091603053435,2021,Monaco,Street,Qualifying,0,135.0
3.0,16,Ferrari,95.582,24.925,44.774,25.883,123.91998451087407,35.73899462441151,0.2922155688622754,2021,Monaco,Street,Qualifying,0,278.5
4.0,16,Ferrari,71.55,18.927,33.578,19.045,165.27995544000592,57.570077366039385,0.2667731629392971,2021,Monaco,Street,Qualifying,0,44.0
5.0,16,Ferrari,101.113,26.362,50.313,24.438,116.99473933707932,31.37003718999697,0.2729331823329558,2021,Monaco,Street,Qualifying,0,336.0
6.0,16,Ferrari,71.113,18.724,33.494,18.895,166.5564974758513,58.614970302163485,0.2487961476725521,2021,Monaco,Street,Qualifying,0,24.0
7.0,16,Ferrari,95.677,24.207,48.412,23.058,123.78583123139282,34.043491728384645,0.3038277511961722,2021,Monaco,Street,Qualifying,0,283.0
8.0,16,Ferrari,71.233,18.793,33.603,18.837,165.8465202976688,58.35969315758589,0.2439807383627608,2021,Monaco,Street,Qualifying,0,32.0
9.0,16,Ferrari,91.126,24.922,43.77,22.434,130.1510201008042,35.76408762553476,0.257537688442211,2021,Monaco,Street,Qualifying,0,229.0
11.0,16,Ferrari,90.113,27.557,39.664,22.892,130.95610502073612,42.620589989206415,0.2935196950444727,2021,Monaco,Street,Qualifying,0,217.0
12.0,16,Ferrari,82.834,22.085,39.013,21.736,143.3712828257143,49.2842433437825,0.290633608815427,2021,Monaco,Street,Qualifying,0,175.0
13.0,16,Ferrari,71.037,18.744,33.428,18.865,166.73396349039993,57.66310611205866,0.2528180354267311,2021,Monaco,Street,Qualifying,0,18.0
14.0,16,Ferrari,101.933,26.222,46.064,29.647,116.17471010259052,30.357560284266288,0.249438202247191,2021,Monaco,Street,Qualifying,0,340.0
15.0,16,Ferrari,70.922,18.768,33.414,18.74,166.8004227474543,57.79712401031696,0.2596774193548387,2021,Monaco,Street,Qualifying,0,13.0
17.0,16,Ferrari,89.796,25.904,38.62,25.272,131.4027041090267,41.5228929233984,0.2777070063694267,2021,Monaco,Street,Qualifying,0,213.0
18.0,16,Ferrari,83.461,21.407,39.006,23.048,142.17862685688505,47.69472290159591,0.2794520547945205,2021,Monaco,Street,Qualifying,0,179.0
19.0,16,Ferrari,70.597,18.73,33.064,18.803,167.76814540393914,58.721535326609455,0.2508090614886731,2021,Monaco,Street,Qualifying,0,3.0
21.0,16,Ferrari,92.345,29.178,40.498,22.669,127.92986961805735,41.53851232043865,0.2537128712871287,2021,Monaco,Street,Qualifying,0,244.0
22.0,16,Ferrari,87.589,21.952,40.088,25.549,135.62228860731096,44.6106882787675,0.2679738562091503,2021,Monaco,Street,Qualifying,0,202.0
23.0,16,Ferrari,70.346,18.612,32.983,18.751,168.4901705228067,59.385833136067546,0.2613636363636363,2021,Monaco,Street,Qualifying,0,1.0
25.0,16,Ferrari,90.809,27.388,40.772,22.649,130.09564105127748,41.80414761698793,0.3056603773584905,2021,Monaco,Street,Qualifying,0,225.0
26.0,16,Ferrari,96.104,25.104,46.017,24.983,123.55409140775006,41.81141917557184,0.2729439809296782,2021,Monaco,Street,Qualifying,0,293.0
27.0,16,Ferrari,76.71,18.644,33.083,24.983,126.87672159725533,42.13159911395497,0.2160953800298062,2021,Monaco,Street,Qualifying,0,144.0
1.0,33,Red Bull Racing,95.355,24.741,38.207,32.407,124.23423463194132,37.39222830081915,0.2902055622732769,2021,Monaco,Street,Qualifying,0,271.0
2.0,33,Red Bull Racing,72.987,19.352,34.315,19.32,162.68519704995504,53.46732289886278,0.2633228840125391,2021,Monaco,Street,Qualifying,0,113.0
3.0,33,Red Bull Racing,92.558,21.14,43.926,27.492,128.22496771763008,37.28124768462419,0.2385661310259579,2021,Monaco,Street,Qualifying,0,247.0
4.0,33,Red Bull Racing,71.522,18.859,33.67,18.993,165.6427825937102,56.00427353193854,0.2523961661341853,2021,Monaco,Street,Qualifying,0,43.0
5.0,33,Red Bull Racing,97.478,23.763,45.123,28.592,121.33231422829785,30.590349595285844,0.2479435957696827,2021,Monaco,Street,Qualifying,0,308.0
6.0,33,Red Bull Racing,71.124,18.687,33.429,19.008,166.3529636463655,57.171378929838845,0.2508038585209003,2021,Monaco,Street,Qualifying,0,26.0
8.0,33,Red Bull Racing,96.074,26.111,39.179,30.784,122.92313046990304,36.14055263606652,0.2595238095238095,2021,Monaco,Street,Qualifying,0,292.0
9.0,33,Red Bull Racing,71.04,18.637,33.355,19.048,166.58198692845357,55.70455786503285,0.2459807073954984,2021,Monaco,Street,Qualifying,0,19.0
