DrivingStyle,Accuracy,F1,CV_Mean_Acc,CV_Std_Acc,Top_Feature
Aggressive,0.8867924528301887,0.8928571428571429,0.6385341074020319,0.049613172046576184,LapTime_AvgPace
Cautious,0.8163265306122449,0.8571428571428571,0.4816326530612245,0.07369579626639915,LapTime_AvgPace
Balanced,0.8181818181818182,0.8387096774193549,0.6263973063973064,0.07776352136603681,LapTime_AvgPace
